CensusTract,State,County,POP2010
01097007700,AL,Mobile,1563
01099075600,AL,Monroe,1341
01099075700,AL,Monroe,1867
01099075800,AL,Monroe,1500
01099075900,AL,Monroe,6323
01099076000,AL,Monroe,3542
01099076100,AL,Monroe,6681
01099076200,AL,Monroe,1814
01101000100,AL,Montgomery,1174
01101000200,AL,Montgomery,1605
01101000300,AL,Montgomery,1666
01101000400,AL,Montgomery,4893
01101000500,AL,Montgomery,3656
01101000600,AL,Montgomery,1148
01101000700,AL,Montgomery,1388
01101000900,AL,Montgomery,2515
01101001000,AL,Montgomery,1369
01101001100,AL,Montgomery,3569
01101001200,AL,Montgomery,1771
01101001300,AL,Montgomery,2497
01101001400,AL,Montgomery,3618
01101001500,AL,Montgomery,3760
01101001600,AL,Montgomery,3769
01101001700,AL,Montgomery,5463
01101001800,AL,Montgomery,3411
01101001900,AL,Montgomery,3151
01101002000,AL,Montgomery,4554
01101002100,AL,Montgomery,4091
01101002201,AL,Montgomery,4518
01101002202,AL,Montgomery,1185
01101002300,AL,Montgomery,3136
01101002400,AL,Montgomery,2008
01101002500,AL,Montgomery,2754
01101002600,AL,Montgomery,5956
01101002700,AL,Montgomery,4467
01101002800,AL,Montgomery,4220
01101002900,AL,Montgomery,8217
01101003000,AL,Montgomery,3344
01101003100,AL,Montgomery,3774
01101003200,AL,Montgomery,5724
01101003301,AL,Montgomery,3495
01101003302,AL,Montgomery,6376
01101005101,AL,Montgomery,3689
01101005102,AL,Montgomery,4576
01101005301,AL,Montgomery,623
01101005302,AL,Montgomery,2104
01101005402,AL,Montgomery,5656
01101005403,AL,Montgomery,3614
01101005406,AL,Montgomery,8896
01101005407,AL,Montgomery,4599
01101005408,AL,Montgomery,7637
01101005409,AL,Montgomery,2495
01101005410,AL,Montgomery,4933
01101005501,AL,Montgomery,3246
01101005502,AL,Montgomery,839
01101005503,AL,Montgomery,3722
01101005504,AL,Montgomery,870
01101005603,AL,Montgomery,7828
01101005604,AL,Montgomery,3533
01101005605,AL,Montgomery,3473
01101005606,AL,Montgomery,4964
01101005607,AL,Montgomery,4531
01101005608,AL,Montgomery,947
01101005609,AL,Montgomery,4622
01101005610,AL,Montgomery,1284
01101005611,AL,Montgomery,3140
01101005612,AL,Montgomery,1107
01101005700,AL,Montgomery,1526
01101005800,AL,Montgomery,2186
01101005901,AL,Montgomery,4865
01101005902,AL,Montgomery,3762
01101006000,AL,Montgomery,3611
01101006100,AL,Montgomery,2243
01103000100,AL,Morgan,4435
01103000200,AL,Morgan,3623
01103000300,AL,Morgan,2748
01103000400,AL,Morgan,3929
01103000600,AL,Morgan,3526
01103000700,AL,Morgan,4116
01103000800,AL,Morgan,3121
01103000900,AL,Morgan,5511
01103001000,AL,Morgan,3234
01103005101,AL,Morgan,5036
01103005103,AL,Morgan,875
01103005105,AL,Morgan,2014
01103005106,AL,Morgan,6262
01103005107,AL,Morgan,4353
01103005108,AL,Morgan,3909
01103005109,AL,Morgan,4577
01103005200,AL,Morgan,6530
01103005301,AL,Morgan,7940
01103005302,AL,Morgan,3481
01103005303,AL,Morgan,3971
01103005304,AL,Morgan,5554
01103005404,AL,Morgan,5161
01103005405,AL,Morgan,5208
01103005500,AL,Morgan,5687
01103005600,AL,Morgan,5655
01103005701,AL,Morgan,2658
01103005702,AL,Morgan,6376
01105686800,AL,Perry,1055
01105687000,AL,Perry,5557
01105687100,AL,Perry,3979
01107050000,AL,Pickens,4837
01107050100,AL,Pickens,3656
01107050200,AL,Pickens,2029
01107050300,AL,Pickens,3840
01107050400,AL,Pickens,5384
01109188600,AL,Pike,2002
01109188700,AL,Pike,1668
01109188800,AL,Pike,2431
01109188900,AL,Pike,4994
01109189000,AL,Pike,8053
01109189100,AL,Pike,7023
01109189200,AL,Pike,2753
01109189300,AL,Pike,3975
01111000100,AL,Randolph,3615
01111000200,AL,Randolph,3251
01111000300,AL,Randolph,4266
01111000400,AL,Randolph,4591
01111000500,AL,Randolph,5078
01111000600,AL,Randolph,2112
01113030200,AL,Russell,2091
01113030300,AL,Russell,3548
01113030401,AL,Russell,5290
01113030402,AL,Russell,2857
01113030500,AL,Russell,2019
01113030600,AL,Russell,6672
01113030700,AL,Russell,3793
01113030800,AL,Russell,3110
01113030901,AL,Russell,7031
01113030902,AL,Russell,6946
01113031000,AL,Russell,3727
01113031100,AL,Russell,1873
01113031200,AL,Russell,3990
01115040103,AL,St. Clair,8758
01115040104,AL,St. Clair,5229
01115040105,AL,St. Clair,4372
01115040106,AL,St. Clair,6664
01115040201,AL,St. Clair,5808
01115040203,AL,St. Clair,6137
01115040204,AL,St. Clair,6661
01115040205,AL,St. Clair,5279
01115040300,AL,St. Clair,5509
01115040401,AL,St. Clair,4731
01115040402,AL,St. Clair,3718
01115040501,AL,St. Clair,11002
01115040502,AL,St. Clair,9725
01117030102,AL,Shelby,4127
01117030103,AL,Shelby,1038
01117030211,AL,Shelby,2718
01117030212,AL,Shelby,3231
01117030213,AL,Shelby,4712
01117030214,AL,Shelby,7114
01117030215,AL,Shelby,3742
01117030216,AL,Shelby,6429
01117030217,AL,Shelby,5277
01117030303,AL,Shelby,7016
01117030304,AL,Shelby,5639
01117030305,AL,Shelby,3987
01117030306,AL,Shelby,3938
01117030314,AL,Shelby,3084
01117030315,AL,Shelby,5670
01117030316,AL,Shelby,5360
01117030317,AL,Shelby,3834
01117030319,AL,Shelby,2459
01117030320,AL,Shelby,5250
01117030330,AL,Shelby,5410
01117030331,AL,Shelby,4399
01117030332,AL,Shelby,1150
01117030333,AL,Shelby,4761
01117030334,AL,Shelby,3686
01117030336,AL,Shelby,6069
01117030337,AL,Shelby,1384
01117030340,AL,Shelby,5668
01117030341,AL,Shelby,2091
01117030342,AL,Shelby,2624
01117030344,AL,Shelby,2849
01117030345,AL,Shelby,2865
01117030405,AL,Shelby,1250
01117030406,AL,Shelby,3426
01117030407,AL,Shelby,1954
01117030408,AL,Shelby,3504
01117030501,AL,Shelby,6734
01117030502,AL,Shelby,2122
01117030604,AL,Shelby,6821
01117030605,AL,Shelby,6847
01117030607,AL,Shelby,5825
01117030608,AL,Shelby,3167
01117030609,AL,Shelby,6941
01117030701,AL,Shelby,4483
01117030703,AL,Shelby,3766
01117030704,AL,Shelby,3874
01117030800,AL,Shelby,4006
01117030900,AL,Shelby,2747
01117980000,AL,Shelby,37
01119011300,AL,Sumter,6251
01119011400,AL,Sumter,1850
01119011500,AL,Sumter,4447
01119011600,AL,Sumter,1215
01121010101,AL,Talladega,5171
01121010102,AL,Talladega,5030
01121010201,AL,Talladega,4019
01121010202,AL,Talladega,3752
01121010301,AL,Talladega,3478
01121010302,AL,Talladega,4450
01121010400,AL,Talladega,2783
01121010500,AL,Talladega,2898
01121010600,AL,Talladega,3086
01121010700,AL,Talladega,2496
01121010900,AL,Talladega,3375
01121011000,AL,Talladega,2922
01121011100,AL,Talladega,4742
01121011200,AL,Talladega,2902
01121011300,AL,Talladega,6191
01121011400,AL,Talladega,2873
01121011500,AL,Talladega,5591
01121011600,AL,Talladega,4857
01121011700,AL,Talladega,4308
01121011800,AL,Talladega,2216
01121011900,AL,Talladega,2948
01121012000,AL,Talladega,2203
01123961900,AL,Tallapoosa,2507
01123962000,AL,Tallapoosa,4136
01123962100,AL,Tallapoosa,4051
01123962200,AL,Tallapoosa,4773
01123962300,AL,Tallapoosa,6382
01123962400,AL,Tallapoosa,4703
01123962501,AL,Tallapoosa,4243
01123962502,AL,Tallapoosa,2950
01123962600,AL,Tallapoosa,1705
01123962700,AL,Tallapoosa,6166
01125010101,AL,Tuscaloosa,3276
01125010102,AL,Tuscaloosa,3083
01125010103,AL,Tuscaloosa,6727
01125010201,AL,Tuscaloosa,3447
01125010202,AL,Tuscaloosa,8689
01125010203,AL,Tuscaloosa,2573
01125010204,AL,Tuscaloosa,4919
01125010301,AL,Tuscaloosa,6324
01125010302,AL,Tuscaloosa,3721
01125010303,AL,Tuscaloosa,3043
01125010403,AL,Tuscaloosa,4131
01125010404,AL,Tuscaloosa,2497
01125010405,AL,Tuscaloosa,2896
01125010406,AL,Tuscaloosa,4219
01125010407,AL,Tuscaloosa,3665
01125010500,AL,Tuscaloosa,2374
01125010601,AL,Tuscaloosa,4520
01125010602,AL,Tuscaloosa,9955
01125010701,AL,Tuscaloosa,6568
01125010702,AL,Tuscaloosa,7684
01125010703,AL,Tuscaloosa,2686
01125010802,AL,Tuscaloosa,3825
01125010803,AL,Tuscaloosa,2751
01125010804,AL,Tuscaloosa,2655
01125011200,AL,Tuscaloosa,7031
01125011401,AL,Tuscaloosa,3769
01125011402,AL,Tuscaloosa,3525
01125011600,AL,Tuscaloosa,2844
01125011701,AL,Tuscaloosa,2701
01125011703,AL,Tuscaloosa,4204
01125011800,AL,Tuscaloosa,2685
01125011901,AL,Tuscaloosa,3334
01125011902,AL,Tuscaloosa,1926
01125012000,AL,Tuscaloosa,4096
01125012100,AL,Tuscaloosa,4466
01125012303,AL,Tuscaloosa,6612
01125012304,AL,Tuscaloosa,3141
01125012305,AL,Tuscaloosa,4243
01125012403,AL,Tuscaloosa,3030
01125012404,AL,Tuscaloosa,2656
01125012405,AL,Tuscaloosa,6210
01125012501,AL,Tuscaloosa,1785
01125012502,AL,Tuscaloosa,6122
01125012503,AL,Tuscaloosa,3824
01125012600,AL,Tuscaloosa,2876
01125012700,AL,Tuscaloosa,4281
01125012800,AL,Tuscaloosa,3067
01127020100,AL,Walker,3739
01127020200,AL,Walker,4304
01127020300,AL,Walker,7049
01127020400,AL,Walker,2306
01127020600,AL,Walker,2497
01127020700,AL,Walker,3092
01127020800,AL,Walker,5613
01127020900,AL,Walker,5071
01127021000,AL,Walker,3851
01127021100,AL,Walker,3581
01127021200,AL,Walker,3445
01127021300,AL,Walker,3557
01127021400,AL,Walker,3691
01127021500,AL,Walker,3456
01127021600,AL,Walker,1484
01127021700,AL,Walker,4085
01127021800,AL,Walker,3709
01127021900,AL,Walker,2493
01129043900,AL,Washington,2775
01129044000,AL,Washington,4321
01129044100,AL,Washington,3353
01129044200,AL,Washington,4589
01129044300,AL,Washington,2543
01131034700,AL,Wilcox,1308
01131034800,AL,Wilcox,4533
01131035100,AL,Wilcox,3789
01131035200,AL,Wilcox,2040
01133965501,AL,Winston,2393
01133965502,AL,Winston,2871
01133965503,AL,Winston,2620
01133965600,AL,Winston,5415
01133965700,AL,Winston,4595
01133965800,AL,Winston,4432
01133965900,AL,Winston,2158
02013000100,AK,Aleutians East,3141
02016000100,AK,Aleutians West,1185
02016000200,AK,Aleutians West,4376
02020000101,AK,Anchorage,5736
02020000102,AK,Anchorage,5259
02020000201,AK,Anchorage,4110
02020000202,AK,Anchorage,5947
02020000203,AK,Anchorage,10549
02020000204,AK,Anchorage,3381
02020000300,AK,Anchorage,8000
02020000400,AK,Anchorage,5937
02020000500,AK,Anchorage,1988
02020000600,AK,Anchorage,7747
02020000701,AK,Anchorage,5949
02020000702,AK,Anchorage,5107
02020000703,AK,Anchorage,5706
02020000801,AK,Anchorage,7323
02020000802,AK,Anchorage,4407
02020000901,AK,Anchorage,4906
02020000902,AK,Anchorage,3141
02020001000,AK,Anchorage,4131
02020001100,AK,Anchorage,940
02020001200,AK,Anchorage,3718
02020001300,AK,Anchorage,3059
02020001400,AK,Anchorage,5224
02020001500,AK,Anchorage,5104
02020001601,AK,Anchorage,4092
02020001602,AK,Anchorage,4224
02020001701,AK,Anchorage,6843
02020001702,AK,Anchorage,5258
02020001731,AK,Anchorage,5823
02020001732,AK,Anchorage,6179
02020001801,AK,Anchorage,4907
02020001802,AK,Anchorage,5537
02020001900,AK,Anchorage,4194
02020002000,AK,Anchorage,3748
02020002100,AK,Anchorage,3787
02020002201,AK,Anchorage,5053
02020002202,AK,Anchorage,2960
02020002301,AK,Anchorage,7088
02020002302,AK,Anchorage,4791
02020002303,AK,Anchorage,9273
02020002400,AK,Anchorage,3299
02020002501,AK,Anchorage,4993
02020002502,AK,Anchorage,5236
02020002601,AK,Anchorage,4784
02020002602,AK,Anchorage,5805
02020002603,AK,Anchorage,6341
02020002702,AK,Anchorage,9670
02020002711,AK,Anchorage,6589
02020002712,AK,Anchorage,9068
02020002811,AK,Anchorage,6313
02020002812,AK,Anchorage,7166
02020002813,AK,Anchorage,4579
02020002821,AK,Anchorage,5050
02020002822,AK,Anchorage,4020
02020002823,AK,Anchorage,5217
02020002900,AK,Anchorage,2570
02050000100,AK,Bethel,9483
02050000200,AK,Bethel,6080
02050000300,AK,Bethel,1450
02060000100,AK,Bristol Bay,997
02068000100,AK,Denali,1826
02070000100,AK,Dillingham,2466
02070000200,AK,Dillingham,2381
02090000100,AK,Fairbanks North Star,1709
02090000200,AK,Fairbanks North Star,3418
02090000300,AK,Fairbanks North Star,4958
02090000400,AK,Fairbanks North Star,4717
02090000500,AK,Fairbanks North Star,2371
02090000600,AK,Fairbanks North Star,4024
02090000700,AK,Fairbanks North Star,4142
02090000800,AK,Fairbanks North Star,5388
02090000900,AK,Fairbanks North Star,5772
02090001000,AK,Fairbanks North Star,1529
02090001100,AK,Fairbanks North Star,8143
02090001200,AK,Fairbanks North Star,6854
02090001300,AK,Fairbanks North Star,6462
02090001400,AK,Fairbanks North Star,7357
02090001500,AK,Fairbanks North Star,10052
02090001600,AK,Fairbanks North Star,4836
02090001700,AK,Fairbanks North Star,1422
02090001800,AK,Fairbanks North Star,2743
02090001900,AK,Fairbanks North Star,11684
02100000100,AK,Haines,2508
02105000200,AK,Hoonah-Angoon,95
02105000300,AK,Hoonah-Angoon,2055
02110000100,AK,Juneau,4933
02110000200,AK,Juneau,7083
02110000300,AK,Juneau,5483
02110000400,AK,Juneau,4804
02110000500,AK,Juneau,3498
02110000600,AK,Juneau,5474
02122000100,AK,Kenai Peninsula,373
02122000200,AK,Kenai Peninsula,5623
02122000300,AK,Kenai Peninsula,895
02122000400,AK,Kenai Peninsula,6497
02122000500,AK,Kenai Peninsula,6263
02122000600,AK,Kenai Peninsula,7100
02122000700,AK,Kenai Peninsula,9939
02122000800,AK,Kenai Peninsula,3724
02122000900,AK,Kenai Peninsula,2132
02122001000,AK,Kenai Peninsula,4027
02122001100,AK,Kenai Peninsula,3089
02122001200,AK,Kenai Peninsula,966
02122001300,AK,Kenai Peninsula,4772
02130000100,AK,Ketchikan Gateway,3484
02130000200,AK,Ketchikan Gateway,4884
02130000300,AK,Ketchikan Gateway,2841
02130000400,AK,Ketchikan Gateway,2268
02150000100,AK,Kodiak Island,1832
02150000200,AK,Kodiak Island,7152
02150000300,AK,Kodiak Island,2255
02150000400,AK,Kodiak Island,1052
02150000500,AK,Kodiak Island,1301
02164000100,AK,Lake and Peninsula,1631
02170000101,AK,Matanuska-Susitna,620
02170000102,AK,Matanuska-Susitna,2181
02170000200,AK,Matanuska-Susitna,2050
02170000300,AK,Matanuska-Susitna,5614
02170000401,AK,Matanuska-Susitna,1912
02170000402,AK,Matanuska-Susitna,2105
02170000501,AK,Matanuska-Susitna,1716
02170000502,AK,Matanuska-Susitna,1896
02170000601,AK,Matanuska-Susitna,4481
02170000603,AK,Matanuska-Susitna,6131
02170000604,AK,Matanuska-Susitna,4734
02170000701,AK,Matanuska-Susitna,3362
02170000703,AK,Matanuska-Susitna,3676
02170000705,AK,Matanuska-Susitna,3750
02170000706,AK,Matanuska-Susitna,4974
02170000800,AK,Matanuska-Susitna,4895
02170000900,AK,Matanuska-Susitna,2544
02170001001,AK,Matanuska-Susitna,3458
02170001003,AK,Matanuska-Susitna,3434
02170001004,AK,Matanuska-Susitna,4831
02170001100,AK,Matanuska-Susitna,5364
02170001201,AK,Matanuska-Susitna,5142
02170001202,AK,Matanuska-Susitna,4664
02170001300,AK,Matanuska-Susitna,5461
02180000100,AK,Nome,5725
02180000200,AK,Nome,3767
02185000100,AK,North Slope,4213
02185000200,AK,North Slope,2690
02185000300,AK,North Slope,2527
02188000100,AK,Northwest Arctic,4322
02188000200,AK,Northwest Arctic,3201
02195000200,AK,Petersburg,3815
02198000100,AK,Prince of Wales-Hyder,1685
02198000200,AK,Prince of Wales-Hyder,2327
02198000300,AK,Prince of Wales-Hyder,87
02198940100,AK,Prince of Wales-Hyder,1460
02220000100,AK,Sitka,3546
02220000200,AK,Sitka,5335
02230000100,AK,Skagway,968
02240000100,AK,Southeast Fairbanks,2219
02240000400,AK,Southeast Fairbanks,4810
02261000100,AK,Valdez-Cordova,2952
02261000200,AK,Valdez-Cordova,2264
02261000300,AK,Valdez-Cordova,4420
02270000100,AK,Wade Hampton,7459
02275000300,AK,Wrangell,2369
02282000100,AK,Yakutat,662
02290000100,AK,Yukon-Koyukuk,1311
02290000200,AK,Yukon-Koyukuk,1461
02290000300,AK,Yukon-Koyukuk,1758
02290000400,AK,Yukon-Koyukuk,1058
04001942600,AZ,Apache,1578
04001942700,AZ,Apache,5628
04001944000,AZ,Apache,6043
04001944100,AZ,Apache,5870
04001944201,AZ,Apache,4010
04001944202,AZ,Apache,4053
04001944300,AZ,Apache,6958
04001944901,AZ,Apache,4021
04001944902,AZ,Apache,4853
04001945001,AZ,Apache,4497
04001945002,AZ,Apache,3916
04001945100,AZ,Apache,2221
04001970200,AZ,Apache,4990
04001970300,AZ,Apache,3523
04001970501,AZ,Apache,5081
04001970502,AZ,Apache,4276
04003000100,AZ,Cochise,1971
04003000201,AZ,Cochise,3747
04003000202,AZ,Cochise,3982
04003000203,AZ,Cochise,2740
04003000301,AZ,Cochise,4212
04003000302,AZ,Cochise,4851
04003000303,AZ,Cochise,3457
04003000400,AZ,Cochise,2206
04003000500,AZ,Cochise,5651
04003000600,AZ,Cochise,2984
04003000700,AZ,Cochise,5196
04003000800,AZ,Cochise,5160
04003000901,AZ,Cochise,3586
04003000902,AZ,Cochise,2846
04003001000,AZ,Cochise,1656
04003001100,AZ,Cochise,3599
04003001200,AZ,Cochise,3036
04003001300,AZ,Cochise,5613
04003001401,AZ,Cochise,4359
04003001402,AZ,Cochise,1251
04003001501,AZ,Cochise,3636
04003001502,AZ,Cochise,3812
04003001601,AZ,Cochise,4825
04003001602,AZ,Cochise,3441
04003001701,AZ,Cochise,4274
04003001702,AZ,Cochise,3978
04003001703,AZ,Cochise,4511
04003001800,AZ,Cochise,9219
04003001900,AZ,Cochise,7083
04003002001,AZ,Cochise,4979
04003002002,AZ,Cochise,4332
04003002100,AZ,Cochise,5153
04005000100,AZ,Coconino,3804
04005000200,AZ,Coconino,3788
04005000300,AZ,Coconino,7175
04005000400,AZ,Coconino,5373
04005000500,AZ,Coconino,4396
04005000600,AZ,Coconino,5461
04005000700,AZ,Coconino,3647
04005000800,AZ,Coconino,4122
04005000900,AZ,Coconino,6905
04005001000,AZ,Coconino,8156
04005001101,AZ,Coconino,4797
04005001102,AZ,Coconino,6650
04005001200,AZ,Coconino,2864
04005001301,AZ,Coconino,5102
04005001302,AZ,Coconino,5536
04005001500,AZ,Coconino,3186
04005001600,AZ,Coconino,3150
04005001700,AZ,Coconino,3417
04005002000,AZ,Coconino,2037
04005002100,AZ,Coconino,7247
04005002200,AZ,Coconino,6457
04005002300,AZ,Coconino,6674
04005942201,AZ,Coconino,4073
04005942202,AZ,Coconino,3813
04005944900,AZ,Coconino,4631
04005945000,AZ,Coconino,4180
04005945100,AZ,Coconino,3679
04005945200,AZ,Coconino,4101
04007000100,AZ,Gila,2949
04007000200,AZ,Gila,2227
04007000301,AZ,Gila,5810
04007000302,AZ,Gila,2911
04007000400,AZ,Gila,4481
04007000500,AZ,Gila,5429
04007000600,AZ,Gila,1640
04007000700,AZ,Gila,1710
04007000800,AZ,Gila,1281
04007000900,AZ,Gila,2884
04007001000,AZ,Gila,5094
04007001100,AZ,Gila,3852
04007001200,AZ,Gila,5023
04007001300,AZ,Gila,1340
04007940200,AZ,Gila,1678
04007940400,AZ,Gila,5288
04009940500,AZ,Graham,4780
04009961100,AZ,Graham,4385
04009961201,AZ,Graham,3569
04009961202,AZ,Graham,3609
04009961300,AZ,Graham,3409
04009961400,AZ,Graham,4947
04009961500,AZ,Graham,4449
04009961600,AZ,Graham,3161
04009961700,AZ,Graham,4911
04011960100,AZ,Greenlee,2886
04011960200,AZ,Greenlee,2963
04011960300,AZ,Greenlee,2588
04012020100,AZ,La Paz,2815
04012020201,AZ,La Paz,1837
04012020202,AZ,La Paz,647
04012020501,AZ,La Paz,1984
04012020502,AZ,La Paz,4388
04012020602,AZ,La Paz,1741
04012940200,AZ,La Paz,3080
04012940300,AZ,La Paz,3997
04012980000,AZ,La Paz,0
04013010101,AZ,Maricopa,5073
04013010102,AZ,Maricopa,4640
04013030401,AZ,Maricopa,4283
04013030402,AZ,Maricopa,3895
04013040502,AZ,Maricopa,4861
04013040506,AZ,Maricopa,5209
04013040507,AZ,Maricopa,6097
04013040512,AZ,Maricopa,1690
04013040513,AZ,Maricopa,3031
04013040514,AZ,Maricopa,3104
04013040515,AZ,Maricopa,4792
04013040516,AZ,Maricopa,2856
04013040517,AZ,Maricopa,7621
04013040518,AZ,Maricopa,6679
04013040519,AZ,Maricopa,3595
04013040520,AZ,Maricopa,4142
04013040521,AZ,Maricopa,4560
04013040522,AZ,Maricopa,4181
04013040523,AZ,Maricopa,3300
04013040524,AZ,Maricopa,1474
04013040525,AZ,Maricopa,3046
04013040526,AZ,Maricopa,2365
04013040527,AZ,Maricopa,4184
04013040528,AZ,Maricopa,6212
04013040529,AZ,Maricopa,3222
04013040530,AZ,Maricopa,3559
04013040531,AZ,Maricopa,3395
04013050603,AZ,Maricopa,4536
04013050604,AZ,Maricopa,3727
04013050605,AZ,Maricopa,5828
04013050606,AZ,Maricopa,6799
04013050607,AZ,Maricopa,6505
04013050608,AZ,Maricopa,7163
04013050609,AZ,Maricopa,4874
04013050610,AZ,Maricopa,7915
04013050611,AZ,Maricopa,4477
04013050701,AZ,Maricopa,5092
04013050702,AZ,Maricopa,5280
04013060801,AZ,Maricopa,5832
04013060802,AZ,Maricopa,1975
04013060901,AZ,Maricopa,4640
04013060902,AZ,Maricopa,3842
04013060903,AZ,Maricopa,4983
04013060904,AZ,Maricopa,3527
04013061009,AZ,Maricopa,8318
04013061010,AZ,Maricopa,4638
04013061011,AZ,Maricopa,5705
04013061012,AZ,Maricopa,7680
04013061013,AZ,Maricopa,5709
04013061014,AZ,Maricopa,4905
04013061015,AZ,Maricopa,5757
04013061016,AZ,Maricopa,4614
04013061017,AZ,Maricopa,3496
04013061018,AZ,Maricopa,4660
04013061019,AZ,Maricopa,3161
04013061020,AZ,Maricopa,3835
04013061021,AZ,Maricopa,1753
04013061022,AZ,Maricopa,8869
04013061023,AZ,Maricopa,9200
04013061024,AZ,Maricopa,2177
04013061025,AZ,Maricopa,7445
04013061026,AZ,Maricopa,5458
04013061027,AZ,Maricopa,5539
04013061028,AZ,Maricopa,2417
04013061029,AZ,Maricopa,4905
04013061030,AZ,Maricopa,7272
04013061031,AZ,Maricopa,3315
04013061032,AZ,Maricopa,5579
04013061033,AZ,Maricopa,6011
04013061034,AZ,Maricopa,6764
04013061035,AZ,Maricopa,6699
04013061036,AZ,Maricopa,2489
04013061037,AZ,Maricopa,3957
04013061038,AZ,Maricopa,4525
04013061039,AZ,Maricopa,3708
04013061040,AZ,Maricopa,3929
04013061041,AZ,Maricopa,4319
04013061042,AZ,Maricopa,2120
04013061043,AZ,Maricopa,2452
04013061044,AZ,Maricopa,5553
04013061045,AZ,Maricopa,4960
04013061046,AZ,Maricopa,5183
04013061047,AZ,Maricopa,3264
04013061100,AZ,Maricopa,3436
04013061200,AZ,Maricopa,6114
04013061300,AZ,Maricopa,1930
04013061401,AZ,Maricopa,1972
04013061402,AZ,Maricopa,5505
04013071503,AZ,Maricopa,4708
04013071504,AZ,Maricopa,3394
04013071505,AZ,Maricopa,5964
04013071506,AZ,Maricopa,4260
04013071509,AZ,Maricopa,5401
04013071510,AZ,Maricopa,4078
04013071511,AZ,Maricopa,3339
04013071512,AZ,Maricopa,5917
04013071513,AZ,Maricopa,1550
04013071514,AZ,Maricopa,4021
04013071515,AZ,Maricopa,3674
04013071516,AZ,Maricopa,2886
04013071517,AZ,Maricopa,3740
04013071600,AZ,Maricopa,3668
04013071701,AZ,Maricopa,2634
04013071702,AZ,Maricopa,3219
04013071801,AZ,Maricopa,5148
04013071802,AZ,Maricopa,3302
04013071903,AZ,Maricopa,6306
04013071906,AZ,Maricopa,5816
04013071909,AZ,Maricopa,3797
04013071910,AZ,Maricopa,6218
04013071911,AZ,Maricopa,3081
04013071912,AZ,Maricopa,2817
04013071913,AZ,Maricopa,5071
04013071914,AZ,Maricopa,3125
04013071915,AZ,Maricopa,3439
04013082002,AZ,Maricopa,5807
04013082007,AZ,Maricopa,4077
04013082008,AZ,Maricopa,5058
04013082009,AZ,Maricopa,4668
04013082010,AZ,Maricopa,3931
04013082012,AZ,Maricopa,5708
04013082016,AZ,Maricopa,2348
04013082017,AZ,Maricopa,4275
04013082018,AZ,Maricopa,4685
04013082019,AZ,Maricopa,2391
04013082020,AZ,Maricopa,3833
04013082021,AZ,Maricopa,2070
04013082022,AZ,Maricopa,4171
04013082023,AZ,Maricopa,5366
04013082024,AZ,Maricopa,4081
04013082025,AZ,Maricopa,2378
04013082026,AZ,Maricopa,5995
04013082027,AZ,Maricopa,3978
04013082028,AZ,Maricopa,4214
04013082203,AZ,Maricopa,7512
04013082204,AZ,Maricopa,5359
04013082205,AZ,Maricopa,5124
04013082206,AZ,Maricopa,3092
04013082207,AZ,Maricopa,2394
04013082208,AZ,Maricopa,2891
04013082209,AZ,Maricopa,2840
04013082210,AZ,Maricopa,4633
04013082211,AZ,Maricopa,4823
04013083000,AZ,Maricopa,6545
04013092305,AZ,Maricopa,3667
04013092306,AZ,Maricopa,5893
04013092307,AZ,Maricopa,5847
04013092308,AZ,Maricopa,6612
04013092309,AZ,Maricopa,5212
04013092311,AZ,Maricopa,2876
04013092312,AZ,Maricopa,5001
04013092401,AZ,Maricopa,4045
04013092402,AZ,Maricopa,3369
04013092500,AZ,Maricopa,4935
04013092600,AZ,Maricopa,3177
04013092705,AZ,Maricopa,3702
04013092708,AZ,Maricopa,2056
04013092709,AZ,Maricopa,4130
04013092710,AZ,Maricopa,4269
04013092711,AZ,Maricopa,3120
04013092712,AZ,Maricopa,4905
04013092713,AZ,Maricopa,5027
04013092715,AZ,Maricopa,4037
04013092716,AZ,Maricopa,3908
04013092717,AZ,Maricopa,4870
04013092718,AZ,Maricopa,3791
04013092719,AZ,Maricopa,4277
04013092720,AZ,Maricopa,4407
04013092721,AZ,Maricopa,2801
04013092723,AZ,Maricopa,4114
04013092724,AZ,Maricopa,3472
04013092801,AZ,Maricopa,4756
04013092802,AZ,Maricopa,5217
04013092900,AZ,Maricopa,2866
04013093001,AZ,Maricopa,4841
04013093002,AZ,Maricopa,4082
04013093101,AZ,Maricopa,4547
04013093104,AZ,Maricopa,4385
04013093105,AZ,Maricopa,5242
04013093106,AZ,Maricopa,4068
04013093200,AZ,Maricopa,3355
04013103205,AZ,Maricopa,2652
04013103206,AZ,Maricopa,2521
04013103207,AZ,Maricopa,2459
04013103208,AZ,Maricopa,3927
04013103209,AZ,Maricopa,5353
04013103210,AZ,Maricopa,6044
04013103211,AZ,Maricopa,4395
04013103212,AZ,Maricopa,4245
04013103214,AZ,Maricopa,3852
04013103215,AZ,Maricopa,2779
04013103216,AZ,Maricopa,5192
04013103217,AZ,Maricopa,6295
04013103219,AZ,Maricopa,3012
04013103220,AZ,Maricopa,2994
04013103302,AZ,Maricopa,6246
04013103303,AZ,Maricopa,3475
04013103304,AZ,Maricopa,4674
04013103305,AZ,Maricopa,3092
04013103306,AZ,Maricopa,3619
04013103400,AZ,Maricopa,4656
04013103501,AZ,Maricopa,3107
04013103502,AZ,Maricopa,5914
